	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
COS2	COS2	23.1952802556318	-1.76969685080613	0.794224367598425	-2.22820769923912	0.0258666678942498	0.0474548844070012
snR81	snR81	5.59285263129092	-3.86354474597231	1.73595820393099	-2.22559779217237	0.0260411342195282	0.047759883901514
UBR1	UBR1	662.225361479708	-0.992920930290754	0.44633916985415	-2.22458837886715	0.0261088834939872	0.0478690318192599
PML39	PML39	173.007485572541	1.02467583345046	0.460665199304002	2.22433957459472	0.0261256059953335	0.0478718706681566
SWI6	SWI6	305.581335835311	-0.961444343211176	0.432241869809927	-2.22432024836918	0.0261269053268054	0.0478718706681566
SPO77	SPO77	15.9632807133005	1.93620362146742	0.870771692400091	2.22354910979099	0.0261787957429124	0.0479414606456504
DED81	DED81	1444.06598334024	1.0011738357416	0.450267154379421	2.22351070026741	0.0261813826719364	0.0479414606456504
YDR366C	YDR366C	14.4929337846714	2.00108146243406	0.900467945926534	2.22226840109789	0.0262651722836225	0.0480797421456422
SKG3	SKG3	136.161937662758	1.17813633380396	0.530385746687177	2.22128204078384	0.0263318644805609	0.0481714813852754
UBP14	UBP14	554.419639214959	-0.978546069031271	0.440528661599152	-2.22129943935787	0.026330686819144	0.0481714813852754
ECM9	ECM9	145.344786877269	-1.10068672640722	0.49560951764053	-2.22087487675238	0.026359437287866	0.0481969250386906
RRT13	RRT13	62.0912032288468	-1.27206956294094	0.572789700221682	-2.22083176853323	0.0263623580003437	0.0481969250386906
GTO1	GTO1	652.108021439869	0.917652707457329	0.414048982893421	2.21629021050763	0.0266716330457144	0.0487470224093372
PEX29	PEX29	250.775046531715	-0.974008697474582	0.44002396381945	-2.21353557433575	0.0268607434461076	0.0490772212853749
ZPR1	ZPR1	2205.36142946737	-1.18720667488544	0.537214436904273	-2.20993069681221	0.0271099724325651	0.0495170206719259
SSK22	SSK22	150.376815578991	1.0334973800349	0.467796502998651	2.20928838375238	0.0271545886481377	0.0495829309528673
GRX8	GRX8	37.5327499679452	1.48056908640073	0.670225712644684	2.20906040825927	0.0271704394650084	0.0495962921390167
ERP4	ERP4	212.961499582865	-0.998821541715308	0.452299607014221	-2.20831839388245	0.0272220859903361	0.0496749650787546
SAE3	SAE3	2.2954492837219	5.42513987127087	2.45944114245608	2.20584252967857	0.0273950273094463	0.0499591775094139
STR2	STR2	322.740751271429	-0.949628926311616	0.430504865817434	-2.20584946120987	0.0273945418157009	0.0499591775094139
YGR174W-A	YGR174W-A	5.80345438351079	-3.91396958844215	1.77471895978075	-2.20540247619019	0.0274258644445786	0.049999725267218
EFM6	EFM6	18.6138132223041	1.80406871300584	0.818553115632982	2.20397269102172	0.0275262647034521	0.0501670274244163
YHR214C-E	YHR214C-E	3.80394998954325	-4.64103353930635	2.10621457568897	-2.20349512004883	0.0275598705448843	0.050212529030366
OCA4	OCA4	191.713430188395	-0.994625116930433	0.451489107650913	-2.20298806787487	0.0275955896546624	0.0502618511666869
GRS1	GRS1	2233.9222748798	0.98335697998654	0.446775751536939	2.20100794773156	0.0277354611993176	0.0505007833616647
RSE1	RSE1	139.845988998996	-1.04449184125179	0.474643346189443	-2.20058249975954	0.0277655936152493	0.050539815249555
ZDS2	ZDS2	67.0482640065932	1.41237896885493	0.641881553676258	2.20037320089009	0.0277804275952828	0.0505509847162754
YHR130C	YHR130C	12.0492119848386	2.13689702875533	0.971362917004483	2.19989562227181	0.0278143013921364	0.0505875514036314
HRK1	HRK1	1171.56369655009	-0.892227041640029	0.405586417342253	-2.19984448070687	0.0278179308819694	0.0505875514036314
RPC31	RPC31	373.280795581497	0.919759876408982	0.418218234953673	2.19923427420822	0.0278612684288458	0.0506505136404292
RTT107	RTT107	38.5631234930771	-1.48806116487463	0.677216394389803	-2.19732005486286	0.0279975963478065	0.0508824358891342
MLP2	MLP2	482.616750686952	0.899056566325141	0.409250392465966	2.19683739558028	0.0280320612751338	0.0509291466492897
MAY24	MAY24	82.5647999015481	-1.24614224923006	0.567327159491179	-2.19651435398879	0.028055148912509	0.0509551642123445
MF(ALPHA)1	MF(ALPHA)1	12.15488059156	-2.64671194398464	1.20513519409171	-2.19619504679674	0.0280779857589283	0.0509807101627277
GTS1	GTS1	497.770094549822	-0.919407398474315	0.418961734690408	-2.19449014634645	0.0282001915643155	0.0511866062997507
LTE1	LTE1	67.1172823306062	1.24184678201919	0.566032857642853	2.1939482227068	0.0282391320660404	0.0512412849103424
YAR068W	YAR068W	19.7068376406502	-2.24820895964495	1.02536099881087	-2.19260237345895	0.0283360399785649	0.0514010812594942
GSH2	GSH2	269.118060432791	-1.02772119707211	0.46887008706427	-2.19191035091823	0.0283859805273112	0.0514756064975765
SSP120	SSP120	701.306732873052	-0.907265852697608	0.414296094731701	-2.18989718762654	0.0285316939984355	0.0517133321447051
MTC5	MTC5	212.366966063609	-1.01922355103489	0.465430032287022	-2.18985342657551	0.0285348685801909	0.0517133321447051
tF(GAA)P1	tF(GAA)P1	2.59878912123286	5.40976269262006	2.47124559108734	2.18908339670108	0.0285907790741757	0.0517985062279019
ARG5%2C6	ARG5%2C6	405.099062555075	1.03025191913033	0.471015965363166	2.18729723595671	0.028720832389014	0.0519693268508559
EMP47	EMP47	324.690595912384	0.945548347529267	0.432255867391827	2.18747371373945	0.0287079601106358	0.0519693268508559
SDH7	SDH7	153.889349094619	-1.1374794069842	0.519966440790314	-2.18760157916212	0.0286986367187561	0.0519693268508559
YDR124W	YDR124W	74.5802665304551	-1.27970253007141	0.585034131607687	-2.18739806950195	0.0287134769880941	0.0519693268508559
ERG27	ERG27	341.61634111019	-0.992767891177146	0.454952895157138	-2.18213336313477	0.0290996915363848	0.052638470964665
GND1	GND1	499.392538229045	1.12555396022872	0.51601582073397	2.18123924694354	0.0291657253501324	0.0527415045846202
TVP18	TVP18	289.671535424903	-0.937716409582022	0.430210948791615	-2.1796665385107	0.0292821886445609	0.0529356393163882
GTB1	GTB1	179.473294091186	-1.0248090691327	0.470201503871842	-2.17951040286767	0.029293772714074	0.0529401141213302
ELO2	ELO2	220.861766887752	1.19691527678436	0.549217667285982	2.17930949435593	0.0293086843885876	0.0529505979690616
SNZ1	SNZ1	62.1370745270666	-1.32210418282326	0.606831271659372	-2.17870146870971	0.0293538525896608	0.0530157213334706
MRPL4	MRPL4	139.649904611797	1.19883001923243	0.550458030958959	2.17787724369093	0.0294151771283282	0.0530934812018147
DIB1	DIB1	158.456141992057	-1.03312655636985	0.474352609367801	-2.17797169440421	0.0294081441568763	0.0530934812018147
YRO2	YRO2	3899.87017315086	-1.0840043996293	0.497998867890306	-2.17672061027269	0.0295014195671272	0.0532326142577285
ITC1	ITC1	543.332049764067	0.892525690451596	0.410101918310324	2.17635092790818	0.029529030142202	0.0532658979473861
ERG12	ERG12	187.090955793162	-0.988713058453937	0.454452504894397	-2.17561361815727	0.0295841641868599	0.0533487937493111
